post_id,message
95926963131_10154532097573132,"Juan Ramon Guerrero and Christopher ""Drew"" Leinonen planned to get married before they were both killed in the Orlando shooting—they will now have a joint funeral. ❤️ (via People Video)"
75932763901_10155044425473902,PATERNITY BOMBSHELL! Get the shocking details —>  http://bit.ly/1toF1JV
10606591490_10153764300136491,1. Own your story. There's power in embracing your vulnerabilities and pain.
112638779551_10155029164299552,Baylor possibly bringing back Art Briles is causing a stir.
7245371700_10153818473891701,"""It was Latin night at Pulse. Trump endorsers Marco Rubio and Mitch McConnell did not make the connection that the names of the dead could be confused for a roll call of the families Trump wants to deport."""
10513336322_10154259283951323,"#BREAKING: An alligator has dragged a two-year-old boy into a lagoon near the Walt Disney World resort in Orlando. Police say the boy's father tried to pull his son from the alligator's mouth, but was unable to save the child."
86680728811_10154489664803812,Somber vigils held in Puerto Rico: Authorities say nearly half of those killed at the Pulse nightclub in Orlando had ties to the U.S. territory.
52150999700_10154341266554701,This is not your average Ozzy Osbourne music tour. 🚘
5281959998_10150827683044999,"A Canadian man held captive by the militant group Abu Sayyaf has been decapitated, Philippine officials said."
75932763901_10155044343618902,SERIOUSLY? We can't believe this famous father lets his ten-year-old daughter run around like this (via Life & Style Weekly) —> http://bit.ly/25WmMgK
10606591490_10153764325971491,Take a cue from these countries' morning meals.
7245371700_10153818512116701,"""It was pure magic."""
18807449704_10154205149849705,An alligator dragged a toddler into the water near Disney's Grand Floridian Resort & Spa in Orlando Tuesday evening.
10513336322_10154259161411323,"Facebook has just launched support for 360-degree images and, even though they're not uplifting or inspiring, we're proud to bring you these exclusive pictures showing dead coral in the Great Barrier Reef Marine Park, from our special report, Reef on the Brink: http://www.theguardian.com/australia-news/series/reef-on-the-brink?CMP=fb_gu

Tilt your phone or drag your mouse to look around the devastation near Lizard Island."
13652355666_10153602759210667,"""Recovery will never be easy, but we're tight-knit ... We support each other."""
5281959998_10150828038939999,"When a photographer learned his father's life was about to end, his own life changed. ""And it did so — hard to believe sometimes — for the better,"" he writes. http://nyti.ms/1PslX2c

Photo: Clarence Williams"
86680728811_10154489706398812,"After Orlando massacre, Pres. Barack Obama calls on Congress to reinstate the assault weapons ban and pass legislation to make it harder for suspected terrorists to obtain firearms."
75932763901_10155044364028902,Kim Kardashian West made waves when she posted these over-the-top Instagram pics — but they are NOTHING compared to little sister Kylie Jenner's latest post: http://bit.ly/1XjtlVo
10513336322_10154257505176323,"Frank Field: ""People who already have wealth, own a home of their own and have a secure job may not worry about immigration, but Labour's heartland supporters do worry about it."""
10606591490_10153764368561491,Adorable.
95926963131_10154532658488132,Three cheers for these incredible rescuers! (via PEOPLE Pets)
7245371700_10153818555451701,I'm still trying to figure out what a ~flexicution~ is.
18807449704_10154205118259705,Yikes.
86680728811_10154489724263812,"The Riviera Hotel and Casino - the Las Vegas Strip's first high-rise - exited the scene with a cinematic implosion, complete with fireworks. http://abcn.ws/261Ewnz"
10513336322_10154259342971323,"""Cristiano Ronaldo reacted to a restorative night for the game with all the petulance and pettiness of a spoilt child. Even in a tiny nation's finest hour in football, Ronaldo demands the limelight and so it is gratifying the prima donna was partly responsible for Iceland producing a performance to remember."""
7245371700_10153818592846701,"Cool, it started a conversation about interracial dating but does it still relate to us today?"
75932763901_10155044349498902,WHOA — can you believe she wore THIS to a red carpet event?! Click here to find out who (via Life & Style Weekly): http://bit.ly/1Yqjw7B
10606591490_10153764388311491,"The robot has been described as ""kindly, endearing and surprising."""
112638779551_10155029268259552,"Neymar Jr. pulls off a trick shot, then challenges Ronaldo.

Nicole Dabeau for @TheBuzzer."
86680728811_10154489353773812,"An Australian rodent may have become the first victim of extinction as a result of human-caused climate change, researchers say."
10513336322_1056081194426966,"""Where does this stop? Are we going to start treating all Muslim-Americans differently? Are we going to start subjecting them to special surveillance? Are we going to start discriminating against them because of their faith? Do Republican officials actually agree with this?"""
86680728811_10154489795348812,"2-year-old boy was with his family visiting from Nebraska when the alligator attacked, authorities said. ""The father entered the water and tried to grab the child from the gator, but was not successful."""
13652355666_10153602774625667,Omar Mateen legally purchased the weapons from a Florida store on consecutive days about a week before the rampage.
5281959998_10150827654599999,Looking for a dead medieval king? You might want to check under a parking lot.
